nombre,nacimiento,fallecimiento
Leslie Marmon Silko,1948-03-05,
David Malouf,1934-03-20,
William Faulkner,1897-09-25,1962-07-06
Clifford Simak,1904-08-03,1988-04-25
J.R.R. Tolkien,1892-01-03,1973-09-02
C. J. Cherryh,1942-09-01,
Gabriel García Márquez,1927-03-06,2014-04-17
Kazuo Ishiguro,1954-11-08,
Tomas Tranströmer,1931-04-15,2015-03-26
Neil Gaiman,1960-11-10,
Olga Tokarczuk,1962-01-29,
Ralph Ellison,1914-03-01,1994-04-16
Joy Harjo,1951-05-09,
Thomas Mann,1875-06-06,1955-08-12
Virginia Woolf,1882-01-25,1941-03-28
Octavia E. Butler,1947-06-22,2006-02-24
Chimamanda Ngozi Adichie,1977-09-15,
Edwidge Danticat,1969-01-19,
Leo Tolstoy,1828-09-09,1910-11-20
Orhan Pamuk,1952-06-07,
Richard Wright,1908-09-04,1960-11-28
Franz Kafka,1883-07-03,1924-06-03
Larissa Lai,,
Alice Munro,1931-07-10,
Jun'ichirō Tanizaki,1886-07-24,1965-07-30
Viet Thanh Nguyen,1971-03-13,
Louise Glück,1943-04-22,
Mario Vargas Llosa,1936-03-28,
Nuruddin Farah,1945-11-24,
Fyodor Dostoevsky,1821-11-11,1881-02-09
V. S. Naipaul,1932-08-17,2018-08-11
Gao Xingjian,1940-01-04,
Douglas Stuart,,
Assia Djebar,1936-06-30,2015-02-06
Mo Yan,1955-02-17,
Henrik Ibsen,1828-03-20,1906-05-23
Toni Morrison,1931-02-18,2019-08-05
Ursula K. Le Guin,1929-10-21,2018-01-22
Margaret Atwood,1939-11-18,
Liu Cixin,1963-06-21,
Mary Shelley,1797-08-30,1851-02-01
Chinua Achebe,1930-11-16,2013-03-21
David Diop,1966-02-24,
Ernesto Quiñonez,,
Nicola Griffith,1960-09-30,
Elie Wiesel,1928-09-30,2016-07-02
Albert Camus,1913-11-07,1960-01-04
Rabindranath Tagore,1861-05-07,1941-08-07
Arundhati Roy,1961-11-24,
Iris Murdoch,1919-07-15,1999-02-08
Ana Castillo,1953-06-15,
Ismail Kadare,1936-01-28,
Michael Ondaatje,1943-09-12,
Doris Lessing,1919-10-22,2013-11-17
Luis Alberto Urrea,1955-08-20,
Nana Kwame Adjei-Brenyah,,
Jhumpa Lahiri,1967-07-11,
Michael Chabon,1963-05-24,
Allen Ginsberg,1926-06-03,1997-04-05
Zeyn Joukhadar,,
J. M. Coetzee,1940-02-09,
Isabel Allende,1942-08-02,
N. Scott Momaday,1934-02-27,
Bessie Head,1937-07-06,1986-04-17
Hoda Barakat,,
James Baldwin,1924-08-02,1987-11-30
Emily Brontë,1818-07-30,1848-12-19
Willa Cather,1873-12-07,1947-04-24
David Grossman,1954-01-25,
Ibrahim Nasrallah,1954-12-02,
Arthur C. Clarke,1917-12-16,2008-03-19
Han Kang,1970-11-27,
Harper Lee,1926-04-28,2016-02-19
N. K. Jemisin,1972-09-19,
Colson Whitehead,1969-11-06,
John Steinbeck,1902-02-27,1968-12-20
